state_fips,year,state_abbr,state_name,census_region,census_division
38,2018,ND,North Dakota,Midwest,West North Central
38,2019,ND,North Dakota,Midwest,West North Central
38,2020,ND,North Dakota,Midwest,West North Central
38,2021,ND,North Dakota,Midwest,West North Central
38,2022,ND,North Dakota,Midwest,West North Central
38,2023,ND,North Dakota,Midwest,West North Central
39,2008,OH,Ohio,Midwest,East North Central
39,2009,OH,Ohio,Midwest,East North Central
39,2010,OH,Ohio,Midwest,East North Central
39,2011,OH,Ohio,Midwest,East North Central
39,2012,OH,Ohio,Midwest,East North Central
39,2013,OH,Ohio,Midwest,East North Central
39,2014,OH,Ohio,Midwest,East North Central
39,2015,OH,Ohio,Midwest,East North Central
39,2016,OH,Ohio,Midwest,East North Central
39,2017,OH,Ohio,Midwest,East North Central
39,2018,OH,Ohio,Midwest,East North Central
39,2019,OH,Ohio,Midwest,East North Central
39,2020,OH,Ohio,Midwest,East North Central
39,2021,OH,Ohio,Midwest,East North Central
39,2022,OH,Ohio,Midwest,East North Central
39,2023,OH,Ohio,Midwest,East North Central
40,2008,OK,Oklahoma,South,West South Central
40,2009,OK,Oklahoma,South,West South Central
40,2010,OK,Oklahoma,South,West South Central
40,2011,OK,Oklahoma,South,West South Central
40,2012,OK,Oklahoma,South,West South Central
40,2013,OK,Oklahoma,South,West South Central
40,2014,OK,Oklahoma,South,West South Central
40,2015,OK,Oklahoma,South,West South Central
40,2016,OK,Oklahoma,South,West South Central
40,2017,OK,Oklahoma,South,West South Central
40,2018,OK,Oklahoma,South,West South Central
40,2019,OK,Oklahoma,South,West South Central
40,2020,OK,Oklahoma,South,West South Central
40,2021,OK,Oklahoma,South,West South Central
40,2022,OK,Oklahoma,South,West South Central
40,2023,OK,Oklahoma,South,West South Central
41,2008,OR,Oregon,West,Pacific
41,2009,OR,Oregon,West,Pacific
41,2010,OR,Oregon,West,Pacific
41,2011,OR,Oregon,West,Pacific
41,2012,OR,Oregon,West,Pacific
41,2013,OR,Oregon,West,Pacific
41,2014,OR,Oregon,West,Pacific
41,2015,OR,Oregon,West,Pacific
41,2016,OR,Oregon,West,Pacific
41,2017,OR,Oregon,West,Pacific
41,2018,OR,Oregon,West,Pacific
41,2019,OR,Oregon,West,Pacific
41,2020,OR,Oregon,West,Pacific
41,2021,OR,Oregon,West,Pacific
41,2022,OR,Oregon,West,Pacific
41,2023,OR,Oregon,West,Pacific
42,2008,PA,Pennsylvania,Northeast,Middle Atlantic
42,2009,PA,Pennsylvania,Northeast,Middle Atlantic
42,2010,PA,Pennsylvania,Northeast,Middle Atlantic
42,2011,PA,Pennsylvania,Northeast,Middle Atlantic
42,2012,PA,Pennsylvania,Northeast,Middle Atlantic
42,2013,PA,Pennsylvania,Northeast,Middle Atlantic
42,2014,PA,Pennsylvania,Northeast,Middle Atlantic
42,2015,PA,Pennsylvania,Northeast,Middle Atlantic
42,2016,PA,Pennsylvania,Northeast,Middle Atlantic
42,2017,PA,Pennsylvania,Northeast,Middle Atlantic
42,2018,PA,Pennsylvania,Northeast,Middle Atlantic
42,2019,PA,Pennsylvania,Northeast,Middle Atlantic
42,2020,PA,Pennsylvania,Northeast,Middle Atlantic
42,2021,PA,Pennsylvania,Northeast,Middle Atlantic
42,2022,PA,Pennsylvania,Northeast,Middle Atlantic
42,2023,PA,Pennsylvania,Northeast,Middle Atlantic
44,2008,RI,Rhode Island,Northeast,New England
